evidence_id,claim,status,evidence,scope_boundary
RQ029-6-E01,Template package preserves expected scale,PASS,"20 sessions; 300 unique runs; 81880 frames",Template-shape evidence only
RQ029-6-E02,Session identifiers are format-compatible and unique,PASS,"20/20 unique taskId; 20/20 unique recordId; 20/20 unique reserved vehicle IDs",Values remain placeholders
RQ029-6-E03,Four log classes are no longer byte-identical across sessions,PASS,"20 unique hashes for each of monitor simulation perception and vehicle logs",Uniqueness does not make the logs observed
RQ029-6-E04,Background movement remains the fixed Shanghai reference,PASS,"Normalized perception and simulation semantic hash each has one unique value and matches the source",Only valid when the human protocol truly reused this background
RQ029-6-E05,Ego motion is unchanged from paper-aligned v2,PASS,"12 motion columns changed in 0 rows; frame gap runs 0/300; nonpositive dt runs 0/300",Still generated motion rather than observed human motion
RQ029-6-E06,Forbidden placeholder label is absent outside root disclosure,PASS,"0 content or path hits outside root README",Root README and machine provenance retain the non-observed boundary
RQ029-6-E07,Inventory integrity is bidirectional,PASS,"100 actual managed files = 100 inventory rows = 100 MANIFEST entries; 0 hash mismatches",Release manifest and inventory files are explicitly outside the managed hash cycle
RQ029-6-E08,Production use is fail-closed,PASS,"production mode exits 1 with TEMPLATE_MODE_REQUIRED",Real-data materialization requires separate full-stream replacement and recomputation
RQ029-6-E09,Human real row-level metadata is currently unavailable,CONFIRMED_GAP,"Only REAL_VERIFIED aggregates are present; no driver/session/vehicle/time/trajectory table",User must recover the controlled collection ledger and raw logs
RQ029-6-E10,Shanghai AV metadata provides format examples,PASS,"15 observed Shanghai sessions inventoried",AV values cannot be reused as human real values
RQ029-6-E11,Scenario semantic mapping requires owner confirmation,OPEN_DECISION,"11/15 current dictionary labels disagree with non-empty raw caseName",Do not derive final run IDs until the authoritative protocol is selected
