evidence_id,phase,claim,evidence_type,source_or_path,official_source,confidence,notes
RQ010A-P2-001,2,"WOD official repo lists End-To-End Driving as one of three Waymo Open Dataset datasets, with camera data and high-level commands.",official_repo_code,"https://github.com/waymo-research/waymo-open-dataset README lines 239-246",yes,high,"evidence_class=official_repo_code; retrieved public README"
RQ010A-P2-002,2,"E2E v1.0.0 release notes record 2037 training runs, 479 validation runs with rater feedback labels/scenario tags, and 1505 testing runs.",official_repo_code,"https://github.com/waymo-research/waymo-open-dataset/blob/master/LOG.md lines 237-247",yes,high,"evidence_class=official_repo_code; official release notes"
RQ010A-P2-003,2,"Waymo terms grant non-commercial use for research, teaching, scientific publication, personal experimentation, and publication benchmarking, with production/vehicle-use restrictions.",official_doc,"https://waymo.com/open/terms/ lines 31-44 and 61-70",yes,high,"evidence_class=official_doc; access/licence phase should still review full legal terms"
RQ010A-P2-004,2,"Official access flow requires Google account login and agreement to Waymo Dataset License; E2E data/download pages redirect to Google sign-in.",official_doc,"https://waymo.com/open/terms/ lines 104-109; https://waymo.com/open/data/e2e/ sign-in redirect",yes,high,"evidence_class=official_doc; no account created and no licence accepted"
RQ010A-P2-005,2,"E2EDFrame public release schema populates frame.context.name, camera_calibrations, frame.timestamp_micros, and frame.images; all other Frame/context fields are unused.",release_schema,"https://github.com/waymo-research/waymo-open-dataset/blob/master/src/waymo_open_dataset/protos/end_to_end_driving_data.proto lines 450-476",yes,high,"evidence_class=release_schema; B1-load-bearing for actor-track absence"
RQ010A-P2-006,2,"E2EDFrame includes ego future log states at 4 Hz, ego past history states at 4 Hz, and ego intent enum.",release_schema,"https://github.com/waymo-research/waymo-open-dataset/blob/master/src/waymo_open_dataset/protos/end_to_end_driving_data.proto lines 478-491 and 539-552",yes,high,"evidence_class=release_schema"
RQ010A-P2-007,2,"Released preference_trajectories are repeated EgoTrajectoryStates with up to three human-scored trajectories on a subset of frames; invalid scores are -1 or empty and valid score range is 0-10.",release_schema,"https://github.com/waymo-research/waymo-open-dataset/blob/master/src/waymo_open_dataset/protos/end_to_end_driving_data.proto lines 493-502 and 531-535",yes,high,"evidence_class=release_schema; metadata only; no rating values read"
RQ010A-P2-008,2,"Submission proto keys predictions by frame_name matching E2EDFrame.frame.context.name and requires a 5 s 4 Hz x/y trajectory with 20 waypoints.",release_schema,"https://github.com/waymo-research/waymo-open-dataset/blob/master/src/waymo_open_dataset/protos/end_to_end_driving_submission.proto lines 455-485",yes,high,"evidence_class=release_schema; supports candidate/prediction identity metadata"
RQ010A-P2-009,2,"Direct WOD-E2E public schema does not expose surrounding-actor 3D tracks, IDs, classes, histories, or uncertainty; only listed populated Frame fields are camera/calibration/timestamp/images and other Frame fields are unused.",release_schema,"https://github.com/waymo-research/waymo-open-dataset/blob/master/src/waymo_open_dataset/protos/end_to_end_driving_data.proto lines 455-470 and 478-502",yes,high,"evidence_class=release_schema; Phase 4 should not infer tracks from paper prose"
RQ010A-P2-010,2,"Official public sources found no E2E-to-WOMD/WOD crosswalk; README distinguishes Motion object trajectories/3D maps from E2E camera/high-level-command dataset, but no mapping key is documented.",official_repo_code,"https://github.com/waymo-research/waymo-open-dataset README lines 239-245; E2ED protos searched",yes,medium,"evidence_class=official_repo_code/release_schema; absence based on public official sources, signed-in manifests remain unchecked"
