field_group,field,grain,template_characteristic,replacement_scope,real_source_needed,required_action
identity,driver_id,driver,D01-D20 reserved pseudonyms,IDENTIFIER_OR_CONFIRM,Anonymized participant register,Provide real pseudonyms or formally adopt D01-D20
identity,taskId,session,Reserved four-digit values 7901-7920,IDENTIFIER,Collection-platform session ledger,Replace with the platform-generated taskId
identity,recordId,session,Derived ten-digit values with one-day spacing,IDENTIFIER,Collection-platform session ledger,Replace with the platform-generated recordId
identity,session_id,session,Composed from reserved taskId-recordId,DERIVED_AFTER_IDENTIFIERS,taskId and recordId,Regenerate as <taskId>-<recordId>
identity,vehicle id and name,vehicle or session,Reserved 8001-8020 and VEHICLE_Dxx values,IDENTIFIER,Instrumented-vehicle or injection-platform register,Replace in both ego log streams
identity,run_id and candidate_key,run or frame,Deterministically composed from reserved identifiers,DERIVED_AFTER_IDENTIFIERS,Final driver scenario and case mapping,Rebuild after identity and scenario confirmation
time,session and frame timestamps,session and frame,Original replay timeline shifted by whole-day offsets,FULL_STREAM,Real collection logs,Replace every timestamp and globalTimeStamp; do not hand-edit
monitoring,monitor.log,monitor sample,Identifiers and time are rewritten; system telemetry is reference-shaped,FULL_STREAM,Real monitor export,"Replace the complete file, including CPU memory network and AV monitor values"
trajectory,vehicle_trajectory.log,frame,Generated ego path timing kinematics and control-shaped fields,FULL_STREAM,Real ego trajectory export,Replace pose speed acceleration steering pedal braking and gear fields
trajectory,vehicle_perception_simulation_trajectory.log ego stream,frame,Generated ego motion embedded in a fixed replay background,FULL_STREAM,Real replay/perception export,Replace ego frames and verify their alignment with the background
trajectory,simulation_trajectory.log and background actors,frame and actor,Same reference background motion with session time shifts,CONFIRM_OR_FULL_STREAM,Replay protocol and actual background export,Confirm the fixed replay was truly reused; otherwise replace the complete background stream
vehicle,vehicleType driveType length width height licence and colours,vehicle,Reference-platform values retained for schema compatibility,CONFIRM_OR_REPLACE,Actual vehicle/platform configuration,Confirm shared vehicle use or replace all static vehicle fields
collection,site route device and software version,batch or session,Only Shanghai is confirmed; detailed collection context is absent,METADATA,Study collection ledger,Provide site route version device build and software version
mapping,scenario_id caseId caseName mapping,scenario,Current project mapping has 11 of 15 semantic conflicts with raw caseName,CONFIRMATION,Authoritative human protocol and platform task dictionary,Choose the authoritative naming convention before deriving run_id
mapping,real 186-case row mapping,analysis case,Generated case groups reproduce aggregate structure only,FULL_MAPPING,Controlled human row-level archive,Provide the real row-to-case mapping if case-clustered analysis is required
analysis,per-unit estimator outputs,driver x scenario and candidate frame,Aggregate-constrained values rather than frozen-estimator outputs on observed rows,RECOMPUTE,Real row-level logs plus frozen estimator,Recompute all candidate gate band TTC and counterpart metrics after real-data fill
