program_id,kind,work_group,topic,program_status,stage,priority,study_path,knowledge_path,plan_path,latest_execution,latest_artifact,evidence_state,paper_role,dependencies,blockers,next_action,last_updated,notes
PAPER001,paper,manuscript context,Existing manuscript context,reference,S8 Paper handoff,P1,,reports/knowledge/PAPER001_online_sociality_verification_manuscript,,N/A,reports/knowledge/PAPER001_online_sociality_verification_manuscript/README.md,reference,Historical manuscript context and prior drafts,N/A,Not a claim-decision source,Retain as reference,2026-06-24,RQ decisions govern paper wording
PAPER002,paper,Group 0,Dynamic-IPV v4.1 evidence architecture,writing,S8 Paper handoff,P0,,reports/knowledge/PAPER002_dynamic_ipv_evidence_architecture,,N/A,paper repo main commit c6783577 / structure.md v4.1,verified-paper-baseline,Current manuscript architecture and claim register,RQ007|RQ008|RQ009|RQ010|RQ011|RQ013,Pending R2/R3/R4-R6 evidence markers remain,Use c6783577 as baseline and reconcile all Overleaf round-trips against structure.md,2026-06-24,Verified on GitHub main; self-anchor remains M4 ablation
RQ001,research,legacy,Online IPV interval deployability,review,S7 Decide,P1,reports/studies/RQ001_online_ipv_interval,reports/knowledge/RQ001_online_ipv_interval,,RQ001_3_online_interval_lock_20260619,reports/knowledge/RQ001_online_ipv_interval/reviews/chatgpt_review.md,supported-but-not-frozen,Engineering prior and M4 self-history ablation,N/A,Decision pending; old target/model do not establish new M3,Freeze bounded decision and protocol crosswalk,2026-06-24,Do not reuse 42 percent or 0.902 as new M3 results
RQ002,research,legacy,Self-anchor group-norm validity,review,S7 Decide,P1,reports/studies/RQ002_self_anchor_group_norm,reports/knowledge/RQ002_self_anchor_group_norm,,RQ002_1+RQ002_2,reports/knowledge/RQ002_self_anchor_group_norm/reviews/chatgpt_review.md,supported-but-not-frozen,Falsification of self-anchor normative authority,N/A,Formal decision pending,Freeze rejection and ablation boundary,2026-06-24,Self-anchor may remain an ablation but cannot define the norm
RQ003,research,legacy,NSFC external evidence,accepted,S7 Decide,P1,reports/studies/RQ003_nsfc_external_evidence,reports/knowledge/RQ003_nsfc_external_evidence,reports/studies/RQ003_nsfc_external_evidence/plans/RQ003_plan_v2_nsfc_ipv_validation_20260620.md,RQ003_6_nsfc_ipv_validation_codex_20260620T160628+0800_fbd2d3f0,reports/knowledge/RQ003_nsfc_external_evidence/decision.md,accepted-boundary,Tier B pilot and transfer-boundary evidence,N/A,H3 labels blocked and no robust IPV-specific increment,Reuse only within accepted Tier B boundary,2026-06-24,No robust incremental predictive utility demonstrated
RQ004,research,legacy,Episode-level IPV state organization,review,S7 Decide,P1,reports/studies/RQ004_ipv_state_space,reports/knowledge/RQ004_ipv_state_space,,RQ004_3_generalizable_conclusions_20260618,reports/knowledge/RQ004_ipv_state_space/reviews/codex_review.md,supported-but-not-frozen,Episode-level state organization,N/A,Exact paper-safe decision not frozen,Freeze R1 claim boundary,2026-06-24,State-conditioned response surface not universal law
RQ005,research,legacy,Manuscript evidence-gap and leakage governance,review,S7 Decide,P1,reports/studies/RQ005_nmi_evidence_gap,reports/knowledge/RQ005_nmi_evidence_gap,,RQ005_1_online_verification_gap_review_20260618,reports/knowledge/RQ005_nmi_evidence_gap/reviews/codex_review.md,supported-but-not-frozen,Leakage provenance abstention and claim governance,N/A,Decision pending,Freeze governance decision,2026-06-24,Planner interface remains demonstration only
RQ006,research,legacy,Sigma sensitivity,archived-review,S7 Decide,P3,reports/studies/RQ006_sigma_sensitivity,reports/knowledge/RQ006_sigma_sensitivity,,RQ006_1_sigma_compare_20260618,reports/knowledge/RQ006_sigma_sensitivity/reviews/codex_review.md,archived-boundary,Robustness appendix,N/A,Not substantive validity evidence,Retain as sensitivity evidence,2026-06-24,Sigma 0.1 healthier but IPV magnitude parameter-sensitive
RQ007,research,Group 1,Interaction-conditioned IPV estimability,accepted,S7 Decide,P0,reports/studies/RQ007_interaction_conditioned_ipv_estimability,reports/knowledge/RQ007_interaction_conditioned_ipv_estimability,reports/plans/RQ007_plan_v0_interaction_conditioned_ipv_estimability_20260622.md,RQ007_1_ipv_estimability_20260622T155229Z_289d9a99,reports/knowledge/RQ007_interaction_conditioned_ipv_estimability/decision.md,accepted-boundary-dev-guard-heldout-sealed,Measurement and estimability foundation,RQ009,Held-out confirmation unopened and irreversible once accessed,Keep sealed while RQ009 is fully frozen; ask PI again at Gate 009-5,2026-06-24,Concentration index is not std; proximity-bounded residual
RQ008,research,Group 2A,InterHub temporal IPV discovery,accepted,S7 Decide,P2,reports/studies/RQ008_interhub_temporal_ipv_discovery,reports/knowledge/RQ008_interhub_temporal_ipv_discovery,reports/plans/RQ008_plan_v0_interhub_temporal_ipv_discovery_20260622.md,RQ008_1_temporal_ipv_discovery_20260622T234914+0800_3e3e776a,reports/knowledge/RQ008_interhub_temporal_ipv_discovery/decision.md,negative-discovery-frozen-0-of-24,Negative boundary against temporal-law claims,N/A,PI decision: do not run RQ008B; confirmation remains unopened,No active work and no RQ008 motifs in RQ009,2026-06-24,Directional temporal structures only; source-local/reverse-invariant structure not fully ruled out
