figure,panel,source,sha256,fields,unit,filters,notes
2,a,reports/studies/RQ004_ipv_state_space/RQ004_2_nature_conclusions_multiagent_20260618/02_process/agent_pair_asymmetry/tables/round3_case_level.csv,7e1f180949517e100ca11db9555d219d011a16e1978570109a42efc78eb137d2,source_row;ipv_key_agent_1_mean;ipv_key_agent_2_mean,independent case,all 34850 valid rows; symmetrize partners for display only,"48x48 fixed bins in [-1.2,1.2] rad; no smooth or synthetic points; RQ004-PRES-PLANE"
2,b,reports/studies/RQ004_ipv_state_space/RQ004_2_nature_conclusions_multiagent_20260618/02_process/agent_pair_asymmetry/tables/dataset_dyad_metrics.csv,2c69d620e269dd7dddad389fbf3a7a7ca2f3fcd45927759203c9b2d36fcf2e54,dataset;n;icc;icc_ci,independent case,four frozen source rows,per-source support totals 34850; intervals are 1000 case-bootstrap CIs
2,b,reports/studies/RQ004_ipv_state_space/RQ004_2_nature_conclusions_multiagent_20260618/02_process/agent_dynamics/tables/round3/round3_c1_static_implementation_comparison.csv,fa2598701eeb4efaa8bd9c5e28c928fe3558a313566a0a1d9ed30fcf30c75edd,implementation;observed_icc;observed_ci_low;observed_ci_high;null_mean;null_ci_low;null_ci_high;n_cases,matched-support case,DYNAMICS pooled estimates and DYAD independent estimates,independent observed interval is absent and not invented
2,c,reports/studies/RQ004_ipv_state_space/RQ004_2_nature_conclusions_multiagent_20260618/02_process/agent_dynamics/tables/round3/round3_c1_role_lock_auc_source.csv,c916cdb677c36a8a5f5ca78be6434b521b3f95348215cf39ea0a27493c0ff5f6,window;model;n_cases;n_clusters;auc;ci_low;ci_high,"case, clustered by scene",plot models ipv and kinematics; all three models preserved in Source Data,role target is final-quarter mean-IPV difference sign; original grouped OOF predictions and 300 scene bootstrap CIs
2,d,reports/studies/RQ004_ipv_state_space/RQ004_2_nature_conclusions_multiagent_20260618/02_process/agent_context_safety/tables/table_turning_pairs.csv,b0e5f00524fa62ccdabe48f57df668cfe6a25536dff9fc97e4db1b5697b44a69,turn_group;n_cases;mean_turn_minus_straight_ipv;ci_low;ci_high;p_bh,paired case,turn_group=all_turn_vs_straight,frozen paired-mean Student-t interval; excludes nonaccepted reversal subgroup
2,d,reports/studies/RQ004_ipv_state_space/RQ004_2_nature_conclusions_multiagent_20260618/02_process/agent_context_safety/tables/table_turn_dataset_replication.csv,ca252fddc72b6e1c51717e9d1d1d47ca1bde7bcf212ab7cacdeb5302bb0a66a4,dataset;n_cases;mean_turn_minus_straight_ipv;ci_low;ci_high,paired case,all four source rows,frozen Student-t interval; nuPlan crosses zero
2,e,reports/studies/RQ004_ipv_state_space/RQ004_1_state_space_law_nature_20260618/02_process/agent_B_evidence/priority_gap_pet_bins.csv,56d628b720835c032fa09aed858afd434bdfc9444c7b237c871c2374693292a9,dataset;pet_bin;n;estimate;ci_low;ci_high,paired priority/nonpriority case,"dataset=ALL, all three pre-existing PET strata",frozen B=1000 seed=42 case-bootstrap CIs; no rebootstrap; offline PET only
2,f,reports/studies/RQ004_ipv_state_space/RQ004_1_state_space_law_nature_20260618/02_process/agent_E_geometry/round3_geometry_prior_results.csv,2aace382b6517619161ad3464ff5f206f71ffd8a1a86f06323bb945241c22cad,table;scope;dataset_short;contrast_id;n;n_a;n_b;effect;ci_low;ci_high,interaction case,"table=primary_contrast;scope=dataset;contrast_id in MP_minus_nonMP,SS_minus_nonSS",eight source-specific original two-group bootstrap CIs; B=1200; no pooling
4,a,.codex-fleet/rq022-matched-scenario/work/T1_target_figure/ego_three_second_window.json,23f74efcf3fff8686c52ba348f1acc10c376b32a7fc3b769714ead692ee49802,ego_ttc_values_sorted; ego_ttc_quantiles; ego_danger_shares; ego_danger_bootstrap; ratios_against_inside,moments and frozen statistics,fixed 3-second window; alpha90; A499/C817/W12344,Full sorted data exported; no new statistics or tests
4,b,.codex-fleet/rq022-matched-scenario/work/T1_target_figure/ego_three_second_window.json,23f74efcf3fff8686c52ba348f1acc10c376b32a7fc3b769714ead692ee49802,ego_ttc_values_sorted; ego_ttc_quantiles; ego_danger_shares; ego_danger_bootstrap; ratios_against_inside,moments and frozen statistics,fixed 3-second window; alpha90; A499/C817/W12344,Full sorted data exported; no new statistics or tests
4,c,.codex-fleet/rq022-matched-scenario/work/T1_target_figure/accommodating_side_battery.json,9412399bcceddc7608f78da5f1f074f1959b9ad5bebac3ffe97d6f8b74cadb4e,battery.counterpart_speed_drop_ratio; battery.counterpart_speed_range_ratio,moment-weighted median ratios,fixed3; A469/C719/W10483; whole-run bootstrap B2000,Only counterpart fields used; old ego fields deliberately excluded
4,d,reports/studies/RQ021_contemporaneous_envelope/RQ021_1_contemporaneous_envelope_20260805T160425Z_43b4bff/rq019_rerun/distribution_results.json,447c5b2ab55013a2b227a15c46ccb7ca8274592f62f96d3ece5c16b65a0b50f4,alpha90_case_bootstrap_threshold_contrasts,acceleration records,"window=fixed3; stratum=non_scripted; both comparisons; thresholds -2,-3,-4",A13800/C21025/W310246; run bootstrap B1000
5,a,.codex-fleet/rq022-matched-scenario/work/T1_target_figure/human_arm_data.json,32b5263861b8add75de158c84ed142a59c7d8f8a6e2a166afa444654d62268fe,flag_counts; per_scenario_alpha90; signature; gates,aggregate counts and frozen statistics,REAL_VERIFIED; 90% main point,Human row-level archive not available locally; no recomputation
5,b,.codex-fleet/rq022-matched-scenario/work/T1_target_figure/human_arm_data.json,32b5263861b8add75de158c84ed142a59c7d8f8a6e2a166afa444654d62268fe,flag_counts; per_scenario_alpha90; signature; gates,aggregate counts and frozen statistics,REAL_VERIFIED; 90% main point,Human row-level archive not available locally; no recomputation
5,c,.codex-fleet/rq022-matched-scenario/work/T1_target_figure/human_arm_data.json,32b5263861b8add75de158c84ed142a59c7d8f8a6e2a166afa444654d62268fe,flag_counts; per_scenario_alpha90; signature; gates,aggregate counts and frozen statistics,REAL_VERIFIED; 90% main point,Human row-level archive not available locally; no recomputation
5,d,.codex-fleet/rq022-matched-scenario/work/T1_target_figure/human_arm_data.json,32b5263861b8add75de158c84ed142a59c7d8f8a6e2a166afa444654d62268fe,flag_counts; per_scenario_alpha90; signature; gates,aggregate counts and frozen statistics,REAL_VERIFIED; 90% main point,Human row-level archive not available locally; no recomputation
5,a,.codex-fleet/rq022-matched-scenario/work/T1_target_figure/av_reference_values.json,85dbe18431e36e8fae377073b3524c57d6b1a6c8b6768dec52621554b5105544,flag_counts; natural_human_outside_pct; per_scenario_alpha90; signature,aggregate counts and frozen statistics,90% main point,
5,b,.codex-fleet/rq022-matched-scenario/work/T1_target_figure/av_reference_values.json,85dbe18431e36e8fae377073b3524c57d6b1a6c8b6768dec52621554b5105544,flag_counts; natural_human_outside_pct; per_scenario_alpha90; signature,aggregate counts and frozen statistics,90% main point,
5,c,.codex-fleet/rq022-matched-scenario/work/T1_target_figure/av_reference_values.json,85dbe18431e36e8fae377073b3524c57d6b1a6c8b6768dec52621554b5105544,flag_counts; natural_human_outside_pct; per_scenario_alpha90; signature,aggregate counts and frozen statistics,90% main point,
5,d,.codex-fleet/rq022-matched-scenario/work/T1_target_figure/av_reference_values.json,85dbe18431e36e8fae377073b3524c57d6b1a6c8b6768dec52621554b5105544,flag_counts; natural_human_outside_pct; per_scenario_alpha90; signature,aggregate counts and frozen statistics,90% main point,
5,d,.codex-fleet/rq022-matched-scenario/work/T1_target_figure/ego_three_second_window.json,23f74efcf3fff8686c52ba348f1acc10c376b32a7fc3b769714ead692ee49802,ratios_against_inside.lower.q50/q75.ci95,ratio,fixed 3-second window; 2000 whole-run bootstrap,
5,a,reports/knowledge/PAPER001_online_sociality_verification_manuscript/figure_revision_20260925/process/source_snapshots/agent_handoff_before_revision.md,7f0a1ecd92daede56ced93019f180d020a049fdcc1e091eadc9756c895426686,"lines 1101-1103: 1.95 [1.62,2.39]; 20000 draws; seed 20260820",reported ratio and CI,accepted 2026-08-20 handoff,"Reported CI annotation only, not reconstructed from aggregate arm intervals; immutable pre-append snapshot of reports/knowledge/PAPER001_online_sociality_verification_manuscript/imported_from_paper_repo_20260620/agent_handoff.md; original result fields unchanged"
5,a,reports/knowledge/RQ022_matched_scenario_human_arm/decision.md,1f929b13c1a71aa4566c884a0dc9dab78a74ca7227dc61aa03686c8282a322d2,"Accepted endpoint 1: rate CI 3.4–5.5%, driver-by-scenario bootstrap B1000",human outside-rate CI,20 drivers × 15 scenarios; 300 runs,CI method differs from AV/human scenario bootstrap
6,a,data/manually_organized/RQ028_v1_主观评分_20260914/论文可用结果提取_20260925/tables/rating_descriptives.csv,5faf7f0fde7ef8c583d64bfd0118fda45df95ce1d021478026efb319402f8801,class;seat;metric;subject_equal_mean;ci_low;ci_high;n_ratings;n_subjects;n_pairs;ci_method,rating points (1-7),"metric=q1_rev; seat=ego and cp; class order A,C,W",Equal-participant mean; supplied pair-cluster percentile bootstrap intervals; no raw-weighted mean plotted.
6,a,data/manually_organized/RQ028_v1_主观评分_20260914/论文可用结果提取_20260925/tables/participant_paired_contrasts.csv,84353725dd65bcecb51670095f8998a7bdd5d706f39b7b34f8486b2f3fa625b7,seat;metric;contrast;estimate;ci_low;ci_high;p_holm_30;estimand;ci_method,within-subject difference in rating points,"metric=q1_rev; seat=cp; A-W,C-W,A-C",All three counterpart contrasts shown; original intervals retained; no inference from mean-interval overlap.
S2,a,data/manually_organized/RQ028_v1_主观评分_20260914/论文可用结果提取_20260925/tables/participant_paired_contrasts.csv,84353725dd65bcecb51670095f8998a7bdd5d706f39b7b34f8486b2f3fa625b7,seat;metric;contrast;estimate;ci_low;ci_high;ci_method,difference in rating points,"metric=q1_rev; seat=cp; A-W,C-W,A-C",Supplied estimates and intervals; two estimands and resampling units stay separate.
