stimulus_id,matched_set_id,scenario_id,actor_source,verdict_class,deviation_side,video_path,is_practice,estimability_pass,human_support_pass,stimulus_qc_pass,target_label,context_text,anchor_time_s,normalized_deviation_d
PX001,PRACTICE,PRACTICE,HUMAN,inside,none,demo:clip_01,true,true,true,true,蓝色车辆,请代入灰色车辆驾驶员并评价蓝色车辆,0,0
S01A,M01,SC01,HUMAN,inside,none,demo:clip_01,false,true,true,true,蓝色车辆,请代入灰色车辆驾驶员并评价蓝色车辆,12.1,0
S01B,M01,SC01,HUMAN,outside,assertive,demo:clip_02,false,true,true,true,蓝色车辆,请代入灰色车辆驾驶员并评价蓝色车辆,12.2,0.42
S01C,M01,SC01,HUMAN,outside,accommodating,demo:clip_03,false,true,true,true,蓝色车辆,请代入灰色车辆驾驶员并评价蓝色车辆,12.0,0.55
S01D,M01,SC01,AV,inside,none,demo:clip_01,false,true,true,true,蓝色车辆,请代入灰色车辆驾驶员并评价蓝色车辆,12.1,0
S01E,M01,SC01,AV,outside,assertive,demo:clip_02,false,true,true,true,蓝色车辆,请代入灰色车辆驾驶员并评价蓝色车辆,12.2,0.44
S01F,M01,SC01,AV,outside,accommodating,demo:clip_03,false,true,true,true,蓝色车辆,请代入灰色车辆驾驶员并评价蓝色车辆,12.0,0.58
S02A,M02,SC02,HUMAN,inside,none,demo:clip_01,false,true,true,true,蓝色车辆,请代入灰色车辆驾驶员并评价蓝色车辆,9.2,0
S02B,M02,SC02,HUMAN,outside,assertive,demo:clip_02,false,true,true,true,蓝色车辆,请代入灰色车辆驾驶员并评价蓝色车辆,9.3,0.37
S02C,M02,SC02,HUMAN,outside,accommodating,demo:clip_03,false,true,true,true,蓝色车辆,请代入灰色车辆驾驶员并评价蓝色车辆,9.1,0.49
S02D,M02,SC02,AV,inside,none,demo:clip_01,false,true,true,true,蓝色车辆,请代入灰色车辆驾驶员并评价蓝色车辆,9.2,0
S02E,M02,SC02,AV,outside,assertive,demo:clip_02,false,true,true,true,蓝色车辆,请代入灰色车辆驾驶员并评价蓝色车辆,9.3,0.40
S02F,M02,SC02,AV,outside,accommodating,demo:clip_03,false,true,true,true,蓝色车辆,请代入灰色车辆驾驶员并评价蓝色车辆,9.1,0.52
S03A,M03,SC03,HUMAN,inside,none,demo:clip_01,false,true,true,true,蓝色车辆,请代入灰色车辆驾驶员并评价蓝色车辆,15.4,0
S03B,M03,SC03,HUMAN,outside,assertive,demo:clip_02,false,true,true,true,蓝色车辆,请代入灰色车辆驾驶员并评价蓝色车辆,15.5,0.61
S03C,M03,SC03,HUMAN,outside,accommodating,demo:clip_03,false,true,true,true,蓝色车辆,请代入灰色车辆驾驶员并评价蓝色车辆,15.2,0.71
S03D,M03,SC03,AV,inside,none,demo:clip_01,false,true,true,true,蓝色车辆,请代入灰色车辆驾驶员并评价蓝色车辆,15.4,0
S03E,M03,SC03,AV,outside,assertive,demo:clip_02,false,true,true,true,蓝色车辆,请代入灰色车辆驾驶员并评价蓝色车辆,15.5,0.63
S03F,M03,SC03,AV,outside,accommodating,demo:clip_03,false,true,true,true,蓝色车辆,请代入灰色车辆驾驶员并评价蓝色车辆,15.2,0.74
