figure,panel,source,sha256,fields,unit,filters,notes
6,a,data/manually_organized/RQ028_v1_主观评分_20260914/论文可用结果提取_20260925/tables/rating_descriptives.csv,5faf7f0fde7ef8c583d64bfd0118fda45df95ce1d021478026efb319402f8801,class;seat;metric;subject_equal_mean;ci_low;ci_high;n_ratings;n_subjects;n_pairs;ci_method,rating points (1-7),"metric=q1_rev; seat=ego and cp; class order A,C,W",Equal-participant mean; supplied pair-cluster percentile bootstrap intervals; no raw-weighted mean plotted.
6,a,data/manually_organized/RQ028_v1_主观评分_20260914/论文可用结果提取_20260925/tables/participant_paired_contrasts.csv,84353725dd65bcecb51670095f8998a7bdd5d706f39b7b34f8486b2f3fa625b7,seat;metric;contrast;estimate;ci_low;ci_high;p_holm_30;estimand;ci_method,within-subject difference in rating points,"metric=q1_rev; seat=cp; A-W,C-W,A-C",All three counterpart contrasts shown; original intervals retained; no inference from mean-interval overlap.
S2,a,data/manually_organized/RQ028_v1_主观评分_20260914/论文可用结果提取_20260925/tables/participant_paired_contrasts.csv,84353725dd65bcecb51670095f8998a7bdd5d706f39b7b34f8486b2f3fa625b7,seat;metric;contrast;estimate;ci_low;ci_high;ci_method,difference in rating points,"metric=q1_rev; seat=cp; A-W,C-W,A-C",Supplied estimates and intervals; two estimands and resampling units stay separate.
S2,a,data/manually_organized/RQ028_v1_主观评分_20260914/论文可用结果提取_20260925/tables/common_scenario_sensitivity.csv,611aa65558891b58eef7fb344127cfd356b10d5e6928ebeed6b1372c25a05296,seat;metric;contrast;estimate;ci_low;ci_high;ci_method,difference in rating points,"metric=q1_rev; seat=cp; A-W,C-W,A-C",Supplied estimates and intervals; two estimands and resampling units stay separate.
6,b,data/manually_organized/RQ028_v1_主观评分_20260914/论文可用结果提取_20260925/tables/rating_descriptives.csv,5faf7f0fde7ef8c583d64bfd0118fda45df95ce1d021478026efb319402f8801,class;seat;metric;subject_equal_mean;ci_low;ci_high;n_ratings;n_subjects;n_pairs;ci_method,rating points (1-7),"metric=q4; seat=ego and cp; class order A,C,W",Equal-participant mean; supplied pair-cluster percentile bootstrap intervals; no raw-weighted mean plotted.
6,b,data/manually_organized/RQ028_v1_主观评分_20260914/论文可用结果提取_20260925/tables/participant_paired_contrasts.csv,84353725dd65bcecb51670095f8998a7bdd5d706f39b7b34f8486b2f3fa625b7,seat;metric;contrast;estimate;ci_low;ci_high;p_holm_30;estimand;ci_method,within-subject difference in rating points,"metric=q4; seat=cp; A-W,C-W,A-C",All three counterpart contrasts shown; original intervals retained; no inference from mean-interval overlap.
S2,b,data/manually_organized/RQ028_v1_主观评分_20260914/论文可用结果提取_20260925/tables/participant_paired_contrasts.csv,84353725dd65bcecb51670095f8998a7bdd5d706f39b7b34f8486b2f3fa625b7,seat;metric;contrast;estimate;ci_low;ci_high;ci_method,difference in rating points,"metric=q4; seat=cp; A-W,C-W,A-C",Supplied estimates and intervals; two estimands and resampling units stay separate.
S2,b,data/manually_organized/RQ028_v1_主观评分_20260914/论文可用结果提取_20260925/tables/common_scenario_sensitivity.csv,611aa65558891b58eef7fb344127cfd356b10d5e6928ebeed6b1372c25a05296,seat;metric;contrast;estimate;ci_low;ci_high;ci_method,difference in rating points,"metric=q4; seat=cp; A-W,C-W,A-C",Supplied estimates and intervals; two estimands and resampling units stay separate.
6,c,data/manually_organized/RQ028_v1_主观评分_20260914/论文可用结果提取_20260925/tables/rating_descriptives.csv,5faf7f0fde7ef8c583d64bfd0118fda45df95ce1d021478026efb319402f8801,class;seat;metric;subject_equal_mean;ci_low;ci_high;n_ratings;n_subjects;n_pairs;ci_method,rating points (1-7),"metric=q5_cost_cp; seat=cp only; class order A,C,W",Equal-participant mean; supplied pair-cluster percentile bootstrap intervals; no raw-weighted mean plotted.
6,c,data/manually_organized/RQ028_v1_主观评分_20260914/论文可用结果提取_20260925/tables/participant_paired_contrasts.csv,84353725dd65bcecb51670095f8998a7bdd5d706f39b7b34f8486b2f3fa625b7,seat;metric;contrast;estimate;ci_low;ci_high;p_holm_30;estimand;ci_method,within-subject difference in rating points,"metric=q5_cost_cp; seat=cp; A-W,C-W,A-C",All three counterpart contrasts shown; original intervals retained; no inference from mean-interval overlap.
S2,c,data/manually_organized/RQ028_v1_主观评分_20260914/论文可用结果提取_20260925/tables/participant_paired_contrasts.csv,84353725dd65bcecb51670095f8998a7bdd5d706f39b7b34f8486b2f3fa625b7,seat;metric;contrast;estimate;ci_low;ci_high;ci_method,difference in rating points,"metric=q5_cost_cp; seat=cp; A-W,C-W,A-C",Supplied estimates and intervals; two estimands and resampling units stay separate.
S2,c,data/manually_organized/RQ028_v1_主观评分_20260914/论文可用结果提取_20260925/tables/common_scenario_sensitivity.csv,611aa65558891b58eef7fb344127cfd356b10d5e6928ebeed6b1372c25a05296,seat;metric;contrast;estimate;ci_low;ci_high;ci_method,difference in rating points,"metric=q5_cost_cp; seat=cp; A-W,C-W,A-C",Supplied estimates and intervals; two estimands and resampling units stay separate.
6,design strip,data/manually_organized/RQ028_v1_主观评分_20260914/论文可用结果提取_20260925/tables/design_counts.csv,1d548bf84c90c4baab0f2b8085b7fc60bdf2d3fbf3e69d720d4a33c1a9c31645,class;arm;seat;n_ratings;n_trials;n_subjects;n_pairs;n_segments;n_scenarios,counts,both seats for rating records; cp rows for trials and segments,"40 participants and 20 pairs are shared counts, not summed across rows; trials=596; segments=90; ratings=1192."
6,design strip,data/manually_organized/RQ028_v1_主观评分_20260914/论文可用结果提取_20260925/tables/scenario_class_coverage.csv,22b1af94ebe2f14dc41096d475f34138b0a2c0626f909f070678ca8d685d6d83,scenario_id,scenarios,unique scenario_id,15 observed scenarios.
S2,direction-count check,data/manually_organized/RQ028_v1_主观评分_20260914/论文可用结果提取_20260925/tables/common_scenario_source.csv,afef0a42d7d0eb2bb2c9462eb75cde7077c58cd476e4d9f6f5f2ef2f74e007a2,scenario_id;seat;metric;contrast;difference,scenario-level difference,check against all 30 common_scenario_sensitivity rows,Aggregate scenario counts checked; no new estimation.
6/S2,supplementary source table,data/manually_organized/RQ028_v1_主观评分_20260914/论文可用结果提取_20260925/tables/rating_descriptives.csv,5faf7f0fde7ef8c583d64bfd0118fda45df95ce1d021478026efb319402f8801,all existing fields,source-defined,complete aggregate table; no filtering,Byte-identical copy: source_data/fig6_rating_descriptives.csv
6/S2,supplementary source table,data/manually_organized/RQ028_v1_主观评分_20260914/论文可用结果提取_20260925/tables/participant_paired_contrasts.csv,84353725dd65bcecb51670095f8998a7bdd5d706f39b7b34f8486b2f3fa625b7,all existing fields,source-defined,complete aggregate table; no filtering,Byte-identical copy: source_data/fig6_participant_paired_contrasts.csv
6/S2,supplementary source table,data/manually_organized/RQ028_v1_主观评分_20260914/论文可用结果提取_20260925/tables/paper_core_results.csv,23b9a780313cd77fa2c6b4b1ef59462cf456b5f61891760db4540a6bb2992038,all existing fields,source-defined,complete aggregate table; no filtering,Byte-identical copy: source_data/fig6_paper_core_results.csv
6/S2,supplementary source table,data/manually_organized/RQ028_v1_主观评分_20260914/论文可用结果提取_20260925/tables/design_counts.csv,1d548bf84c90c4baab0f2b8085b7fc60bdf2d3fbf3e69d720d4a33c1a9c31645,all existing fields,source-defined,complete aggregate table; no filtering,Byte-identical copy: source_data/fig6_design_counts.csv
6/S2,supplementary source table,data/manually_organized/RQ028_v1_主观评分_20260914/论文可用结果提取_20260925/tables/common_scenario_source.csv,afef0a42d7d0eb2bb2c9462eb75cde7077c58cd476e4d9f6f5f2ef2f74e007a2,all existing fields,source-defined,complete aggregate table; no filtering,Byte-identical copy: source_data/fig6_common_scenario_source.csv
6/S2,supplementary source table,data/manually_organized/RQ028_v1_主观评分_20260914/论文可用结果提取_20260925/tables/common_scenario_sensitivity.csv,611aa65558891b58eef7fb344127cfd356b10d5e6928ebeed6b1372c25a05296,all existing fields,source-defined,complete aggregate table; no filtering,Byte-identical copy: source_data/fig6_common_scenario_sensitivity.csv
6/S2,supplementary source table,data/manually_organized/RQ028_v1_主观评分_20260914/论文可用结果提取_20260925/tables/alternative_code_sensitivity.csv,d99611ec47cc599cb6594b712316fe8a97398ed378604b23083f8d7d815051a4,all existing fields,source-defined,complete aggregate table; no filtering,Byte-identical copy: source_data/fig6_alternative_code_sensitivity.csv
6/S2,supplementary source table,data/manually_organized/RQ028_v1_主观评分_20260914/论文可用结果提取_20260925/tables/source_label_sensitivity.csv,9d5be513e1b5a21becf73df1603b5dfd6bb1fa062346db19d52fed8f52c547ba,all existing fields,source-defined,complete aggregate table; no filtering,Byte-identical copy: source_data/fig6_source_label_sensitivity.csv
6/S2,supplementary source table,data/manually_organized/RQ028_v1_主观评分_20260914/论文可用结果提取_20260925/tables/scenario_class_coverage.csv,22b1af94ebe2f14dc41096d475f34138b0a2c0626f909f070678ca8d685d6d83,all existing fields,source-defined,complete aggregate table; no filtering,Byte-identical copy: source_data/fig6_scenario_class_coverage.csv
6/S2,prior plotting entry point,data/manually_organized/RQ028_v1_主观评分_20260914/论文可用结果提取_20260925/process/make_figures.py,208fdca0aba2ec3dbb7e712629b6f50ffb4a3c38685fea8006b5dad799760464,input and weighting logic,not applicable,read only,Original figures migrated without reading the individual-level source used for faint dots.
