event_id,event_name,candidate_source,required_signals,units,sampling_rate_needed,time_alignment_need,actor_attribution_need,derivability_notes,missingness_risk,signal_class,outcome_blind_extractable,endpoint_eligibility,gate_012_0_action,gate_012_0_reason
E01,counterpart hard braking,SPEC_W0,counterpart actor ID; timestamp; speed; acceleration or braking state; optional ego-relative position for interaction context,timestamp ms; speed source units; acceleration source units; position source length units,approximately 10 Hz or finer; observed vehicle/world trajectory median 100 ms,counterpart state must align to ego/world timestamp within the same replay frame or nearest 100 ms frame,requires a frozen counterpart identity rule using neutral actor IDs from simulation_trajectory.value.value[].id/originId and/or perception participant IDs,"World actor acceleration, speed, x/y, courseAngle, length, width, id, and originId are present in simulation_trajectory.log; hard-braking threshold is later W2 work and was not set here.",low for simulation world actors in inspected rows: speed/acceleration/id/x/y 0 missing; counterpart identity rule not yet frozen.,derivable,yes_after_counterpart_rule_and_threshold_freeze,independent_consequence_endpoint,keep_automatic,Retain because actor-level speed/acceleration/time/ID channels exist at about 10 Hz; threshold and counterpart rule remain later gated work.
E02,high deceleration,SPEC_W0,ego or actor acceleration; speed; timestamp; actor ID,timestamp ms; acceleration source units; speed source units,approximately 10 Hz; observed median 100 ms,single-actor time series aligned by timestamp,neutral ego/world actor IDs are sufficient,Acceleration is directly recorded in ego vehicle_trajectory.log and world simulation_trajectory.log; alternate spelling acceleration/acceleration observed.,low: world acceleration 0 missing in inspected rows; ego acceleration has 83 missing values for one spelling but alternate acceleration field covers most rows.,direct,yes_after_threshold_freeze,independent_consequence_endpoint,keep_automatic,Retain because deceleration is directly recorded for ego and world actors; W2 must define threshold and spelling precedence.
E03,high jerk,SPEC_W0,acceleration time series or speed time series; timestamp; actor ID,timestamp ms; acceleration source units; jerk derived as acceleration unit per second,10 Hz minimum; observed trajectory cadence about 100 ms but per-actor smoothing needed,same actor consecutive frames on a normalized time grid,neutral actor ID continuity across frames,Jerk is not directly recorded but can be derived from acceleration deltas over timestamp in vehicle_trajectory.log or simulation_trajectory.log.,moderate: derivative amplifies timestamp jitter and acceleration spelling/missingness; requires interpolation/smoothing rules.,derivable,yes_after_threshold_and_smoothing_freeze,independent_consequence_endpoint,keep_automatic,Retain because acceleration and timestamp channels exist; derivative method must be frozen before extraction.
E04,forced yielding,SPEC_W0,ego/counterpart/non-counterpart trajectories; right-of-way or intended route; gap/proximity; speed/deceleration; human context for forcedness,timestamp ms; speed/acceleration source units; position source length units; route/lane units unavailable,10 Hz kinematics plus contextual route/right-of-way evidence,multi-actor aligned trajectories around interaction onset/resolution,counterpart identity and yielding actor identity must be frozen,"Slowdown/yield kinematics are observable, but no lane/route/right-of-way/map field was found; forcedness is a semantic interaction judgment.",high: essential route/right-of-way signal unavailable; optional media lacks fps/time alignment metadata.,partially_observable,no_complete_automatic_path,construct_proximal_descriptor,demote_human_only,Demote because kinematics alone cannot establish forcedness or right-of-way without route/lane/context signals.
E05,yield-role reversal,SPEC_W0,yielding role over time; counterpart identity; right-of-way or expected priority; actor trajectories,timestamp ms; speed/position source units; route/lane/right-of-way unavailable,10 Hz kinematics plus role/context timeline,multi-actor aligned time windows,stable counterpart and yielding-role labels,"Stop/slowdown sequences can be derived, but role reversal requires semantic role/right-of-way interpretation not present in schema.",high: no route/lane/right-of-way fields; role semantics unavailable.,partially_observable,no_complete_automatic_path,construct_proximal_descriptor,demote_human_only,Demote because no credible automatic signal path exists for role reversal semantics.
E06,repeated stop-go,SPEC_W0,speed time series; timestamp; actor ID; optional acceleration,timestamp ms; speed source units; acceleration source units,10 Hz is sufficient for stop/go cycles after W2 duration and merge-gap rules,single-actor consecutive frames; multi-actor alignment optional for context,neutral ego/world actor ID continuity,Speed and timestamp exist for ego and world actors; stop-go cycles are derivable after threshold/duration rules are frozen.,low for speed/time/id; threshold sensitivity and short gaps remain W2/W3 concerns.,derivable,yes_after_threshold_freeze,independent_consequence_endpoint,keep_automatic,Retain because speed/time/ID channels exist at about 10 Hz for ego and world actors.
E07,unnecessary stop,SPEC_W0,stop event; route/lane/right-of-way; obstacle and traffic-light context; human judgment of necessity,timestamp ms; speed source units; route/lane unavailable,10 Hz kinematics plus contextual route/right-of-way signals,"ego, other actors, obstacles, and traffic lights aligned in time",stopped actor and potential cause actor/object,A stop is derivable from speed; unnecessary status is not because lane/route/right-of-way and intent context are absent.,high: essential necessity context unavailable; traffic lights exist but do not provide route priority alone.,partially_observable,no_complete_automatic_path,construct_proximal_descriptor,demote_human_only,Demote because automatic stop detection is possible but unnecessary-stop interpretation lacks route/context signals.
E08,conflict escalation,SPEC_W0,multi-actor proximity; closing speed; deceleration/jerk; interaction context; severity progression,timestamp ms; speed/acceleration/position source units,10 Hz multi-actor trajectories plus context,ego and relevant actors aligned by timestamp over an interaction window,all involved neutral actor IDs and counterpart identity,"Kinematic risk proxies can be computed from positions/speeds/headings, but escalation is not a direct field and requires semantic thresholding/context.","moderate-high: kinematics exist, but escalation semantics and thresholds are unfrozen; no route/lane.",partially_observable,no_complete_automatic_path,independent_consequence_endpoint,demote_human_only,Demote for now because no complete automatic definition of escalation is supported by direct schema fields.
E09,near miss,SPEC_W0,ego and actor positions; dimensions; heading/courseAngle; speed; timestamp; actor IDs,timestamp ms; x/y source length units or lat/lon degrees; length/width source length units; speed source units; heading degrees,10 Hz minimum; observed median 100 ms,same-frame or interpolated ego-actor states,neutral IDs for ego and counterpart/other actors,"Geometric proximity or time-to-collision can be derived from simulation_trajectory x/y, courseAngle, speed, length, width, id/originId and ego trajectory. No threshold set here.",low for core world actor kinematics/dimensions in inspected rows; coordinate-frame confirmation needed before implementation.,derivable,yes_after_geometry_and_threshold_freeze,independent_consequence_endpoint,keep_automatic,"Retain because positions, dimensions, headings, speeds, timestamps, and actor IDs exist for geometric near-miss derivation."
E10,safety-controller intervention,SPEC_W0,explicit safety-controller/intervention flag or documented status-code dictionary; timestamp; actor/system ID,status code semantics unavailable,event/status stream aligned to trajectory time,system event timestamp aligned to trajectory frames,system/ego attribution,"Only generic numeric status fields were found: avMonitor.status, avMonitor.algorithmStatus, avMonitor.driveStatus, ego autoStatus/chassisStatus/controlType. No local code dictionary maps these to safety-controller intervention.",high: generic monitor status has null monitor objects in some rows and no semantic dictionary.,unavailable,no,planner_system_event,remove,Remove from automatic extraction until an explicit intervention flag or authoritative status-code dictionary is supplied.
