id,vector,severity,evidence,required_fix,status
V01,recycled-threshold circularity,MAJOR,"E01 and E02 use the same central deceleration threshold family (3.4 m/s2, D_min 0.3s, merge 0.3s). E01 is currently guarded off, but once counterpart relation exists the same non-ego hard-deceleration interval can be both E01 and E02. E18 is differentiated centrally but broad high-band E18 can overlap ego E02 hard decel.","Define cross-event hierarchy: collapse E01/E02 into one deceleration event with role qualifiers or mark E01 as an E02 subset; apply subset/precedence rules to E18 versus E02 before RQ012B.",open
V02,threshold outcome-tuning,NOT_FOUND,"Threshold rationale and read-scope audit state no IPV, official score, rank, team identity, label, agreement, event outcome, or event-IPV association was used; no data-derived threshold value was adopted.","None for current artifacts; preserve B02 firewall for future threshold changes.",open
V03,timestamp misalignment,MAJOR,"Pair extractor aligns world rows to nearest ego rows but does not reject duplicate/non-monotonic ego timestamps in the pair path. Red-team synthetic duplicate-ego-time probe emitted E09 event_count=1 with impossible_values=0 and missing_data_failures=0.","Pre-validate ego time series before pair alignment; reject/deduplicate duplicate ego timestamps; add E09/E15 pair-alignment tests for duplicate/tied/mismatched time bases.",open
V04,actor attribution errors,MAJOR,"World rows are grouped by id or originId only; origin_id/name are stored but not used for stability checks. E09/E15 emit pair intervals for every world_by_actor key without verifying stable actor identity.","Require stable id plus originId/name where available; split windows on identity changes; count actor-attribution failures per affected row/window; avoid primary use when unresolved.",open
V05,frame-level duplicate events,MAJOR,"Deduplication is per event only. E09 contact precedence uses fixed central_contact_tolerance=0.0, so high-band E15 tolerance 0.1 and high-band E09 distance 1.0 can both fire for same pair/time. Red-team probe at 0.05m clearance produced high E09=1 and high E15=1 for the same interval.","Compute same-band E15 first and suppress E09 for same pair/time contact intervals; add cross-event duplicate audit for E09/E15, E01/E02, and E02/E18.",open
V06,filename/media metadata leakage,MAJOR,"Corrected release zip has only four neutral text/CSV files and no forbidden-term hits, but issuance/release manifests still show UNSIGNED_PENDING_INDEPENDENT_REAUDIT and final neutral media/card issuance remains pending. Current proof covers text surfaces, not future media/card metadata.","Before accepting labels, issue final neutral media/cards, rerun no-proxy/metadata checks, refresh support checksums, and replace unsigned auditor placeholders with signed re-audit; otherwise mark Gate 012-2 text-only.",open
V07,annotator training contamination,NOT_FOUND,"Training package, key, and separation rule state training items are fictional, training-only, not formal items, and not derived from outcomes, prior annotations, automated output, or formal validation items.","None for current artifacts; keep training outside formal raw-label custody.",open
V08,copied labels / duplicate annotators,MAJOR,"merge_validate rejects byte-identical files and duplicate submitter IDs only. It has no near-duplicate label-pattern, timing, note-similarity, impossible-completion, or channel-log enforcement despite the protocol requiring those checks.","Implement near-duplicate/collusion screen and mandatory controlled-channel provenance report; quarantine high-similarity non-identical pairs pending coordinator review.",open
V09,simulated agreement,NOT_FOUND,"Agreement protocol is frozen before results and does not authorize event-IPV analysis. Merge validation keeps agreement_computed=false, event_ipv_association_computed=false, and merge_or_agreement_output_created=false; tests assert these remain false.","None for current artifacts; compute agreement only later after two accepted real human submissions.",open
V10,independence over-claim,NOT_FOUND,"Addendum explicitly forbids calling the behavioural reference fully independent truth. Codebook uses independent_consequence_endpoint as conceptually separable/outcome-blind evidence, not ground truth. Key-surface search found no ground-truth claim.","None for current artifacts; keep outcome-blind behavioural evidence wording.",open
B11,bonus missing readiness report,BLOCKING,"SPEC requires onsite_event_annotation_readiness_report.html and formal report figure artifacts. No such file exists; 90_report/index.html is only bootstrap text 'RQ012A run initialized'. Phase-10 review already blocked on this and the blocker remains.","Create the SPEC-named substantive readiness HTML report or approved path substitution, then rerun final review.",open
